0,0
0.0001725,0
0.000345,0
0.0005175,0
0.00069,0
0.0008625,0
0.001035,0
0.0012075,0
0.00138,0
0.0015525,0
0.001725,0
0.0018975,1.1942e-36
0.00207,1.0359e-34
0.0022425,2.2184e-33
0.002415,2.5332e-32
0.0025875,1.906e-31
0.00276,6.9429e-31
0.0029325,-1.8741e-31
0.003105,-1.7004e-29
0.0032775,-1.2099e-28
0.00345,-1.3388e-27
0.0036225,-9.5349e-27
0.003795,-4.8495e-26
0.0039675,-4.1166e-26
0.00414,4.3549e-26
0.0043125,-5.0767e-25
0.004485,-4.6343e-24
0.0046575,-2.0964e-23
0.00483,-7.0835e-23
0.0050025,-2.3463e-22
0.005175,-6.4066e-22
0.0053475,-1.5877e-21
0.00552,-3.7652e-21
0.0056925,-8.6615e-21
0.005865,-1.9518e-20
0.0060375,-4.2788e-20
0.00621,-6.5799e-20
0.0063825,-2.1629e-19
0.006555,-4.769e-19
0.0067275,-9.4624e-19
0.0069,-1.8907e-18
0.0070725,-3.5841e-18
0.007245,-6.6368e-18
0.0074175,-1.2065e-17
0.00759,-2.1626e-17
0.0077625,-3.8225e-17
0.007935,-6.6755e-17
0.0081075,-1.153e-16
0.00828,-1.9679e-16
0.0084525,-3.3205e-16
0.008625,-5.5401e-16
0.0087975,-9.1427e-16
0.00897,-1.4931e-15
0.0091425,-2.4141e-15
0.009315,-3.8662e-15
0.0094875,-6.1355e-15
0.00966,-9.6523e-15
0.0098325,-1.5059e-14
0.010005,-2.3309e-14
0.010177,-3.5806e-14
0.01035,-5.4607e-14
0.010522,-8.2708e-14
0.010695,-1.2444e-13
0.010867,-1.8606e-13
0.01104,-2.7652e-13
0.011212,-4.0856e-13
0.011385,-6.003e-13
0.011557,-8.7731e-13
0.01173,-1.2755e-12
0.011902,-1.8452e-12
0.012075,-2.6564e-12
0.012247,-3.8062e-12
0.01242,-5.429e-12
0.012592,-7.7091e-12
0.012765,-1.0899e-11
0.012937,-1.5345e-11
0.01311,-2.1512e-11
0.013282,-3.0036e-11
0.013455,-4.1768e-11
0.013627,-5.7852e-11
0.0138,-7.9814e-11
0.013972,-1.0969e-10
0.014145,-1.5016e-10
0.014317,-2.048e-10
0.01449,-2.7825e-10
0.014662,-3.7663e-10
0.014835,-5.0791e-10
0.015007,-6.8243e-10
0.01518,-9.1355e-10
0.015352,-1.2185e-09
0.015525,-1.6194e-09
0.015697,-2.1444e-09
0.01587,-2.8295e-09
0.016042,-3.7203e-09
0.016215,-4.8743e-09
0.016387,-6.3639e-09
0.01656,-8.2798e-09
0.016732,-1.0735e-08
0.016905,-1.3872e-08
0.017077,-1.7863e-08
0.01725,-2.2925e-08
0.017422,-2.9324e-08
0.017595,-3.7384e-08
0.017767,-4.7501e-08
0.01794,-6.016e-08
0.018112,-7.5945e-08
0.018285,-9.5564e-08
0.018457,-1.1987e-07
0.01863,-1.4988e-07
0.018802,-1.8681e-07
0.018975,-2.3213e-07
0.019147,-2.8754e-07
0.01932,-3.5511e-07
0.019492,-4.3722e-07
0.019665,-5.367e-07
0.019837,-6.5687e-07
0.02001,-8.0159e-07
0.020182,-9.7533e-07
0.020355,-1.1833e-06
0.020527,-1.4315e-06
0.0207,-1.7269e-06
0.020872,-2.0774e-06
0.021045,-2.4921e-06
0.021217,-2.9813e-06
0.02139,-3.5568e-06
0.021562,-4.2319e-06
0.021735,-5.0217e-06
0.021907,-5.9431e-06
0.02208,-7.015e-06
0.022252,-8.2586e-06
0.022425,-9.6976e-06
0.022597,-1.1358e-05
0.02277,-1.3269e-05
0.022942,-1.5463e-05
0.023115,-1.7974e-05
0.023287,-2.0842e-05
0.02346,-2.4107e-05
0.023632,-2.7817e-05
0.023805,-3.202e-05
0.023977,-3.677e-05
0.02415,-4.2125e-05
0.024322,-4.8147e-05
0.024495,-5.49e-05
0.024667,-6.2457e-05
0.02484,-7.089e-05
0.025012,-8.0279e-05
0.025185,-9.0707e-05
0.025357,-0.00010226
0.02553,-0.00011503
0.025702,-0.00012911
0.025875,-0.00014459
0.026047,-0.00016158
0.02622,-0.00018018
0.026392,-0.00020048
0.026565,-0.00022261
0.026737,-0.00024666
0.02691,-0.00027273
0.027082,-0.00030094
0.027255,-0.00033138
0.027427,-0.00036415
0.0276,-0.00039937
0.027772,-0.0004371
0.027945,-0.00047745
0.028117,-0.0005205
0.02829,-0.00056632
0.028462,-0.00061498
0.028635,-0.00066653
0.028807,-0.00072103
0.02898,-0.00077851
0.029152,-0.00083901
0.029325,-0.00090253
0.029497,-0.00096908
0.02967,-0.0010386
0.029842,-0.0011112
0.030015,-0.0011867
0.030187,-0.0012651
0.03036,-0.0013464
0.030532,-0.0014304
0.030705,-0.0015171
0.030877,-0.0016064
0.03105,-0.0016981
0.031222,-0.0017922
0.031395,-0.0018884
0.031567,-0.0019866
0.03174,-0.0020867
0.031912,-0.0021885
0.032085,-0.0022918
0.032257,-0.0023964
0.03243,-0.0025022
0.032602,-0.0026089
0.032775,-0.0027164
0.032947,-0.0028245
0.03312,-0.0029329
0.033292,-0.0030415
0.033465,-0.0031501
0.033637,-0.0032584
0.03381,-0.0033664
0.033982,-0.0034738
0.034155,-0.0035805
0.034327,-0.0036863
0.0345,-0.003791
0.034672,-0.0038945
0.034845,-0.0039968
0.035017,-0.0040975
0.03519,-0.0041967
0.035362,-0.0042942
0.035535,-0.00439
0.035707,-0.0044839
0.03588,-0.0045759
0.036052,-0.004666
0.036225,-0.004754
0.036397,-0.00484
0.03657,-0.004924
0.036742,-0.0050058
0.036915,-0.0050856
